name,city,state,country
US Naval Hospital Guantanamo Bay,Guantanamo Bay,,Cuba
US Naval Hospital Guam,Agana,,Guam
Landstuhl Regional Medical Center,Landstuhl,,Germany
Aviano Air Base(31st Medical Group),Aviano,,Italy
US Naval Hospital Naples,Naples,,Italy
US Naval Hospital Sigonella,Sicily,,Italy
US Army Vicenza Health Center,Vicenza,,Italy
Misawa Airbase Medical Facility(35th Medical Group),Misawa,,Japan
US Naval Hospital Okinawa,Okinawa,,Japan
US Naval Hospital Yokosuka,Yokosuka,,Japan
Yokota Air Base Medical Facility(374th Medical Group),Yokota,,Japan
Brian AllGood Army Community Hospital(65th Medical Brigade),Seoul,,Korea
US Naval Hospital Rota,Rota,,Spain
Royal Air Force Lakenheath(48th Medical Group),Lakenheath,,UK
Bassett Army Community Hospital,Fort Wainwright,AK,USA
Elmendorf Air Force Base Joint Base Elmendorf-Richardson(673rd Medical Group) ,Elmendorf AFB,AK,USA
David Grant USAF Medical Center(60th Medical Group),Travis Air Force Base ,CA,USA
Naval Hospital Camp Pendleton,Camp Pendleton,CA,USA
Naval Medical Center San Diego,San Diego,CA,USA
Naval Hospital Lemoore,Lemoore,CA,USA
Robert E. Bush Naval Hospital,Twentynine Palms,CA,USA
Weed Army Community Hospital,Fort Irwin,CA,USA
Evans Army Community Hospital,Fort Carson,CO,USA
Eglin Air Force Base Hospital(96th Medical Group),Eglin AFB,FL,USA
Naval Hospital Jacksonville,Jacksonville,FL,USA
Naval Hospital Pensacola,Pensacola,FL,USA
Martin Army Community Hospital Fort Benning Medical Acivity,Fort Benning,GA,USA
Winn Army Community Hospital,Fort Stewart,GA,USA
Tripler Army Medical Center,Honolulu,HI,USA
Mountain Home Air Force Base Medical Facility(366th Medical Group),Mountain Home AFB,ID,USA
Irwin Army Community Hospital,Fort Riley,KS,USA
Blanchfield Army Community Hospital,Fort Campbell,KY,USA
Ireland Army Community Hospital,Fort Knox,KY,USA
Bayne-Jones Army Community Hospital,Fort Polk,LA,USA
Walter Reed National Military Medical Center,Bethesda,MD,USA
General Leonard Wood Army Community Hospital,Fort Leonard Wood,MO,USA
Keesler Air Force Base Medical Center(81st Medical Group),Biloxi,MS,USA
Womack Army Medical Center,Fort Bragg,NC,USA
Naval Hospital Camp Lejeune,Camp Lejeune,NC,USA
Keller Army Community Hospital,West Point,NY,USA
Mike O'Callghan Federal Medical Center(99th Medical Group),Nellis Air Force Base ,NV,USA
Wright-Patterson Medical Center(88th Medical Group),Wright Patterson AFB  ,OH,USA
Reynolds Army Community Hospital,Fort Sill,OK,USA
Brook Army Medical Center,Fort Sam Houston,TX,USA
Carl R. Darnall Army Medical Center,Fort Hood,TX,USA
San Antonio Military Medical Center(SAMMC),San Antonio,TX,USA
William Beaumont Army Medical Center,El Paso,TX,USA
Fort Belvoir Community Hospital,Fort Belvoir,VA,USA
Langley Air Force Hospital Joint Base Langley-Eustis(633rd Medical Group),Langley,VA,USA
Naval Medical Center Portsmouth,Portsmouth,VA,USAF
Madigan Army Medical Center(Madigan Healthcare System),Tacoma,WA,USA
Naval Hospital Bremerton,Bremerton,WA,USA
Naval Hospital Oak Harbor,Oak Harbor,WA,USA
